IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
1274156,3207957,6947312,8394140,8394140,8394140,5212769,3812490,ALU
1740795,3686433,7724387,8379081,8386245,8394106,4977410,3564201,ALU
1437319,3451958,7332904,8395741,8379622,8391958,5361024,3795382,ALU
1318690,3257530,6948747,8394541,8377896,8394541,5336858,3829350,ALU
1513261,2934548,6274565,8381228,8396978,8379844,6963455,3855323,ALU
860749,2819151,5572392,8388644,8394569,8388047,5045985,3626815,ALU
1726994,3722919,7678388,8394300,8376716,8394300,5092143,3608451,ALU
1633587,3416473,6595839,8390127,8372522,8390127,5243040,3838207,ALU
1557367,3028794,6443583,8388801,8388779,8388801,6764662,3849195,ALU
1355530,3286511,6925951,8394081,8370647,8394081,5337599,3827454,ALU
1310281,3246120,7001518,8393791,8376710,8393791,5261643,3825624,ALU
1649757,3667485,7700485,8388277,8395276,8395276,5279392,3680182,ALU
1538463,3010342,6358797,8388439,8380476,8388439,7017010,3927353,ALU
1265049,3158140,6590591,8390691,8390691,8390691,5074372,6008616,ALU
954240,2807435,5551335,8369487,8403031,8381003,5069873,3415623,ALU
926273,2785159,5522872,8372998,8402767,8380377,5059043,3431991,ALU
1279562,3212350,6956726,8393838,8393838,8393838,5207181,3809555,ALU
829159,2908471,5589222,8402078,8381643,8402078,4896572,3617930,ALU
1548814,2983202,6361038,8388982,8388982,8388982,6820896,3838515,ALU
1511733,2948460,6300049,8379916,8398149,8378313,6959327,3862995,ALU
1548051,3024745,6404488,8387668,8387668,8387668,6947292,3885952,ALU
1329833,3237610,6791632,8386806,8391904,8391904,5168310,4889738,ALU
1330487,3238362,7059966,8371918,8395265,8395265,5355939,3830527,ALU
1242054,3152063,6906094,8394768,8394768,8394768,5171796,3821270,ALU
873778,2771782,5524442,8381983,8402664,8381094,5064480,3486013,ALU
1016473,2814787,5533021,8358118,8403036,8379587,5055721,3344611,ALU
1253208,3170121,6921231,8394485,8394485,8394485,5182288,3817745,ALU
1500765,2920758,6294091,8377314,8399269,8389668,7038529,3932127,ALU
1597028,3634578,7665602,8378601,8395581,8375589,5446384,3784237,ALU
1295530,3196597,6987131,8379114,8395145,8395145,5345683,3836100,ALU
1282096,3205169,6934737,8395203,8395203,8395203,5243114,3821364,ALU
1286489,3215016,6945494,8394864,8394864,8394864,5318356,3835578,ALU
1261420,3181403,6789212,8394766,8394766,8394766,5304537,3838638,ALU
829998,2901990,5632759,8401308,8395665,8401308,4951462,3646087,ALU
930322,2786489,5523327,8372330,8402779,8380342,5058894,3428069,ALU
1506253,2929983,6320767,8378356,8396928,8396928,7063775,3966107,ALU
1291748,3217545,6961674,8375683,8395648,8372974,5370324,3839318,ALU
832980,2904304,5644561,8401095,8390794,8401095,4973400,3720414,ALU
744301,2685019,5430490,8383369,8404477,8351238,4935316,3537714,ALU
1323878,3232167,7048336,8372121,8395282,8395282,5355464,3831929,ALU
1493664,3497516,7422630,8395551,8395551,8385006,5427549,3772049,ALU
1531588,2920187,6230463,8389464,8384926,8389464,6957180,3855521,ALU
1642724,3670062,7710900,8375316,8395426,8376648,5348906,3736422,ALU
1530538,2903318,6222953,8388209,8390154,8390154,6933348,3833611,ALU
1551384,2996805,6385693,8388925,8388925,8388925,6804128,3841680,ALU
1684542,3691181,7726744,8384480,8395080,8395080,5193009,3646896,ALU
849350,2858358,5568778,8393913,8391201,8393642,4962804,3531183,ALU
791521,2837055,5522360,8397126,8388525,8385121,4875193,3555644,ALU
1502673,2960657,6251681,8394730,8381038,8394730,6894064,3893015,ALU
1558540,3590111,7605729,8390193,8395226,8389509,5439354,3784847,ALU
1238513,3141173,6898131,8395126,8395126,8395126,5169663,3824004,ALU
1290216,3213378,6950994,8380276,8395843,8378077,5350132,3837881,ALU
824070,2894661,5614406,8401232,8401631,8400441,4924329,3556025,ALU
916827,2782056,5521809,8374556,8402739,8380460,5059391,3441142,ALU
826498,2902087,5603055,8401838,8395313,8401838,4906513,3556009,ALU
1513471,2957240,6289905,8385125,8378804,8393326,7099391,3991508,ALU
