IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
1027619,1730919,2967295,5176065,5337191,3399981,1339623,877319,PE
1083469,1794675,3060609,5223645,5421575,3912085,1491653,1004201,PE
1031717,1725053,2895319,4958523,5325519,3622349,1422037,962691,PE
1021369,1714395,3011889,5311545,5711443,3422403,1325859,862003,PE
954893,1584163,2755161,5227523,5960027,4265247,1364767,1081497,PE
1014107,1648931,2929747,5399525,5264735,3248649,1334605,1061539,PE
1021203,1710313,2979513,5182299,5221019,4087073,1392375,995731,PE
1376521,2233683,3759989,5940617,5781425,3455943,1429123,942259,PE
1440625,2360171,4009603,6998761,6619275,3932127,1502519,933223,PE
1424717,2382281,3863707,5810851,5710465,3624217,1565913,1069833,PE
1349643,2236383,3746371,5951609,5988091,3637047,1446093,917797,PE
1037119,1717913,3033101,5556033,5744737,3919559,1383859,1000765,PE
1192453,2016419,3383849,5802129,6182877,3953291,1466815,930609,PE
1566033,2624363,4159763,6584983,6727181,4116993,1784343,1201511,PE
1564517,2610823,4218409,6692767,6710327,3987793,1763157,1163237,PE
1191417,1954545,3246799,5483423,5616017,3608009,1439241,1052249,PE
1201903,1992295,3379583,5598305,6249445,4348833,1535963,969651,PE
1579253,2726443,4487095,7429579,7412383,4203069,1995247,1098051,PE
1602517,2750957,4523827,7440189,7406759,4250737,2009565,1096459,PE
1116383,1844059,3161823,5654815,6053883,3850593,1392297,951027,PE
1115211,1835097,3159411,5575071,5870755,3734377,1390871,1011949,PE
1200101,2021175,3340711,5514657,5813461,3755543,1576965,1036911,PE
1200855,2043927,3389665,5739139,6038449,3769737,1488043,939989,PE
1533489,2577653,4331331,6945009,6641751,3652151,1652667,1024763,PE
1457591,2559125,4363869,7388207,7596579,4449177,1834495,1130451,PE
1035071,1715779,2984587,5289929,5719127,3224505,1258659,1010443,PE
1025293,1744785,3024579,5151359,5679785,3976259,1505465,1036877,PE
1177111,1877365,3320445,6379297,5728441,3919243,1308133,1087523,PE
1176623,1882799,3330515,6396595,5726281,3944633,1311811,1086467,PE
1110605,1905089,3300417,5925107,6283003,4248617,1540925,1123329,PE
933283,1477835,3276803,6487517,6199365,4780177,1273587,973421,PE
1452427,2381489,4064543,6652627,6710691,3653605,1487535,852181,PE
1384229,2289247,3749479,6160125,6587543,4190975,1622667,1064567,PE
1680245,2884355,4767023,7784271,7689663,4336821,2077699,1132849,PE
1668845,2874751,4749337,7755747,7692929,4344545,2079363,1143129,PE
1125709,1796819,3023191,5355129,5913927,4331211,1396483,1149657,PE
1124439,1807397,3140791,5575791,5826887,4128095,1407103,1091367,PE
1734943,2996249,4935303,8176373,8176455,4693397,2233703,1170639,PE
1748505,3039723,5015163,8175259,8088449,4480367,2259459,1216631,PE
1186003,1977237,3300797,5637517,6073657,3915595,1463699,975067,PE
1067981,1761157,2984459,5244561,5721963,3965559,1355517,989423,PE
1245009,2072341,3487971,5831345,5921713,3598593,1403353,840395,PE
1244351,2083809,3330391,5780985,6109555,3816721,1512673,951483,PE
1373851,2258241,3691119,6096505,6193175,3825381,1532913,1071829,PE
1439733,2338153,3925017,6187603,6218345,4315629,1705391,1158251,PE
