IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
1248740,3155127,6910414,8395001,8395001,8395001,5179888,3821589,ALU
1509796,2946808,6288599,8380367,8395617,8378823,6987951,3877666,ALU
1332033,3274133,7054195,8375111,8395436,8375922,5351934,3830557,ALU
1218685,3113730,6869892,8395301,8395301,8395301,5146908,3864560,ALU
1541534,3015366,6373654,8388115,8383024,8388115,6999406,3913937,ALU
749043,2751130,5464854,8390740,8396498,8364258,4884905,3555300,ALU
1281125,3181519,6917834,8395798,8395798,8395798,5296905,3833987,ALU
1504239,2930679,6294021,8380515,8389025,8396407,7095219,3989620,ALU
1567021,3602393,7615960,8395999,8390205,8395999,5425171,3758877,ALU
1542825,3575983,7557353,8383027,8388248,8380783,5410744,3791130,ALU
1272074,3192075,6902523,8396637,8396637,8396637,5276008,3834229,ALU
1518192,2970874,6286684,8386375,8378407,8385789,7059923,3949618,ALU
1289979,3211088,6957520,8377681,8395549,8375157,5365682,3838972,ALU
1288968,3193707,6950307,8394514,8394514,8394514,5274426,3821484,ALU
1491088,2933722,6220229,8390903,8385991,8390228,6902433,3882581,ALU
1533981,3558533,7538029,8396179,8384237,8396179,5395449,3792210,ALU
1311059,3237378,7010443,8385926,8381913,8394364,5301763,3831211,ALU
1508688,2935619,6325502,8378905,8396367,8396367,7058062,3961567,ALU
847985,2771587,5538946,8383252,8403338,8375512,5051655,3509282,ALU
1313763,2805608,5957685,8398488,8398488,8398488,6877664,3891478,ALU
1534518,3558921,7538617,8396094,8385199,8396094,5398664,3792069,ALU
867496,2764119,5513169,8381850,8402689,8379572,5055605,3485899,ALU
