IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_9,IR_Wavelength_10,Material_Type
1786315,3093771,4795453,2305737,3833017,Rec
1469293,2536441,3959133,1813409,3041387,Rec
1660417,2874281,4415011,2144909,3544289,Rec
1562859,2739925,4273303,1991009,3355777,Rec
1634355,2843647,4395435,2127615,3535311,Rec
1438763,2481589,3934365,1906203,3159501,Rec
1606383,2740531,4152801,2061379,3353953,Rec
1590353,2720809,4114429,2043489,3324987,Rec
1589205,2719731,4111371,2041059,3323669,Rec
1530673,2580597,3882775,1947509,3149713,Rec
1510365,2583863,3862493,1937719,3134423,Rec
715135,2279769,3741725,1421303,2931673,Rec
578127,1725193,2914469,1139923,2364343,Rec
689493,2110193,3352737,1327617,2653643,Rec
575255,1681161,2699315,1130847,2225305,Rec
677515,1795631,2722979,1187107,2198977,Rec
676799,1694973,2573843,1137443,2098421,Rec
768955,2063209,3439695,1349707,2682107,Rec
586867,1605567,2724087,1037133,2092995,Rec
719001,1945727,2994471,1266285,2399515,Rec
660993,2082823,2965687,1303141,2456019,Rec
660177,2039727,2996269,1282897,2449753,Rec
625091,1770417,2675991,1138289,2163277,Rec
710059,1923365,2695277,1253123,2242821,Rec
1742691,2911345,4536873,2201697,3622477,Rec
1374427,2258485,3669379,1784769,2984399,Rec
1602293,2673653,4125095,2024415,3313525,Rec
1593439,2653589,4125717,2009511,3290341,Rec
1613153,2661717,4194261,2017621,3331597,Rec
1436227,2377007,3524731,1804711,2867079,Rec
1518541,2558583,3908933,1926425,3143137,Rec
1590923,2698453,4161043,2026549,3327799,Rec
1519179,2648655,4250571,1956367,3301589,Rec
1754989,3021673,4763365,2263209,3789807,Rec
1642293,2827105,4425697,2119193,3534301,Rec
1621503,2800585,4383559,2094205,3493007,Rec
1770041,2935575,4579463,2228469,3651339,Rec
1497461,2582617,4079269,2128743,3498937,Rec
1620257,2696327,4159203,2040981,3331343,Rec
1372775,2248211,3514825,1724711,2854623,Rec
1607665,2669651,4191573,2024931,3336529,Rec
1746787,3021519,4736457,2250977,3763359,Rec
1614041,2781949,4335071,2078985,3454127,Rec
1615821,2782203,4373431,2077747,3474035,Rec
1230711,2086181,3352213,1546369,2640003,Rec
1315863,2266173,3552235,1526989,2559709,Rec
1576151,2742593,4257181,1916451,3188835,Rec
1480693,2490811,3786275,1874515,3049585,Rec
1460093,2482685,3768703,1869311,3041903,Rec
1590597,2693785,4133933,2032871,3323645,Rec
1584163,2678743,4109281,2017161,3301439,Rec
1595041,2601729,3929153,1989189,3178723,Rec
1456209,2397167,3561789,1820483,2895207,Rec
1703843,2821537,4447467,2201053,3629515,Rec
1612653,2685709,4175795,2031855,3335001,Rec
1617923,2717637,4207397,2054565,3369307,Rec
1452303,2387131,3533545,1817437,2880963,Rec
317403,684321,908709,469453,759823,Rec
259395,614275,711041,414509,641059,Rec
310337,653941,772553,452595,684341,Rec
229703,490717,580165,341285,520547,Rec
276689,567133,637737,393769,572231,Rec
320387,626899,1056739,464643,835453,Rec
1677513,2947145,4459625,2190369,3603603,Rec
1487349,2616421,4026337,1941743,3209009,Rec
1666617,2975939,4402195,2199623,3586517,Rec
1657127,2970263,4425667,2192419,3597061,Rec
1681123,2943693,4445699,2190245,3593615,Rec
1671173,2965759,4437873,2197603,3600245,Rec
1659947,2922759,4431609,2178037,3581757,Rec
1438465,2697199,3838551,1962967,3179251,Rec
1688061,3021223,4648507,2232629,3732919,Rec
1675917,3032701,4598181,2229989,3710999,Rec
1692665,3015893,4607371,2229837,3710811,Rec
1532341,2671685,3992471,1990617,3228795,Rec
1316995,2400935,3687519,1738977,2933347,Rec
1404021,2761857,4508739,1976057,3539067,Rec
1561261,2779669,4428153,2057757,3513799,Rec
1146715,2128739,2815389,1575085,2426019,Rec
1369023,2677555,4396943,1919793,3444819,Rec
1459473,2575437,3941037,1896925,3137223,Rec
1763943,3124841,4976841,2331121,3928227,Rec
1814215,3117201,4483671,2336215,3695109,Rec
1847169,3229023,5083283,2398567,4056373,Rec
1774277,3115053,5045757,2314201,3971043,Rec
1776137,3093039,4625543,2324379,3788279,Rec
1676777,3023295,4413773,2275313,3687583,Rec
1756301,3048203,4794071,2228315,3651097,Rec
1891603,3416703,5242793,2514809,4222189,Rec
1921771,3345241,5008307,2496759,4061089,Rec
1903859,3372585,5045281,2501057,4094877,Rec
1680373,2812859,4311291,2131245,3468469,Rec
1555063,2515489,3866109,1808295,2980479,Rec
1668247,2791493,4269769,2109431,3429033,Rec
1560845,2621135,3979135,1979243,3210521,Rec
1339253,2221517,3433967,1599389,2593325,Rec
1397963,2314541,3416453,1758747,2787625,Rec
1497961,2460393,3650489,1873431,2972855,Rec
1483683,2441789,3588749,1859455,2932877,Rec
1376101,2290407,3350455,1737861,2744081,Rec
1390259,2315779,3404849,1755165,2781513,Rec
